REPDTE,ASSET,CERT,INTINC,NETINC,NONII,LNLSNET,DEP,NPERFV,ID
20260331,32107617,7551,390054.0,99873.0,69590.0,23910574,27040903,0.5528283210803219,7551_20260331
20260331,31717351,30788,364931.0,87712.0,35445.0,20819544,24944633,0.2500303382839254,30788_20260331
20260331,30917000,7946,291000.0,62000.0,219000.0,18555000,26135000,0.0420480641718148,7946_20260331
20260331,30620358,32773,339669.0,66336.0,43400.0,22622116,25311703,0.4496028426578161,32773_20260331
20260331,29457314,58177,652738.0,319156.0,176884.0,20180094,20817258,0.5186148336538763,58177_20260331
20260331,29362572,18714,328251.0,55001.0,26594.0,15242008,23172384,0.3834473356080659,18714_20260331
20260331,28626294,20234,347869.0,84122.0,29723.0,20158488,22071798,0.7935152206569247,20234_20260331
20260331,28237712,35546,476447.0,150846.0,56468.0,24051422,22684696,0.357132334234445,35546_20260331
20260331,28114413,16889,333712.0,81960.0,36565.0,19434602,24415141,0.3556005241866511,16889_20260331
20260331,28023532,8728,334843.0,37940.0,131142.0,19621698,24650471,0.6707541362023888,8728_20260331
20260331,28021961,20504,351771.0,113673.0,69977.0,21969927,22689088,0.4647818901753521,20504_20260331
20260331,27552061,28088,326921.0,67928.0,16763.0,19970883,21241331,0.47903494406462,28088_20260331
20260331,27441000,33497,159000.0,102000.0,0.0,3609000,25353000,0.0,33497_20260331
20260331,27420438,803,325880.0,94008.0,37756.0,18934057,21839759,0.5916207465394974,803_20260331
20260331,27090994,12437,339204.0,93908.0,46682.0,18910366,22324890,0.7871545798577934,12437_20260331
20260331,26361352,1105,271234.0,67293.0,42096.0,14603417,22202732,0.6162013238167754,1105_20260331
20260331,25862378,34444,336087.0,72245.0,34684.0,17230584,21707136,0.3038661023359878,34444_20260331
20260331,25514060,58303,287141.0,194362.0,4470.0,2279064,23776997,0.0157520990387261,58303_20260331
20260331,25187481,12010,315039.0,85684.0,31519.0,19478221,19154589,0.5544341651314794,12010_20260331
20260331,24787974,9712,292019.0,88683.0,40391.0,18251676,20240410,0.3983504258960413,9712_20260331
20260331,24649062,3890,301771.0,76307.0,48452.0,17717287,20406548,0.6262104415981428,3890_20260331
20260331,24266808,17985,229686.0,69723.0,52314.0,14271517,20790881,0.181198120494463,17985_20260331
20260331,24035136,18503,323108.0,92165.0,18221.0,19965860,20697975,0.5320044787764047,18503_20260331
20260331,23875947,18053,222182.0,58547.0,42655.0,14049458,21033635,0.1081213658247775,18053_20260331
20260331,23463101,33682,,,,15249980,13509923,0.0,33682_20260331
20260331,23247121,58457,284937.0,41175.0,4151.0,18328597,21368793,0.2916275094881641,58457_20260331
20260331,23028965,11241,312576.0,124669.0,38577.0,15243918,18173254,0.5684971078813138,11241_20260331
20260331,22686655,6600,282414.0,84604.0,82514.0,13329405,18131069,0.4671733228190758,6600_20260331
20260331,22358708,35095,250472.0,40992.0,87962.0,15239126,18592960,0.23286676493114,35095_20260331
20260331,22181187,17798,292373.0,50901.0,23421.0,17679779,18436774,0.6963107970732134,17798_20260331
